"Genes_core","PGFam_core"
"PGF_12700272","Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)"
"PGF_00489714","Porphobilinogen synthase (EC 4.2.1.24)"
"PGF_00422881","Deleted by Swiss-Prot (bogus protein)"
"PGF_03351226","Uncharacterized protein YaiT"
"PGF_00065402","Uncharacterized protein YaiV"
"PGF_00030237","D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH"
"PGF_00092347","hypothetical protein"
"PGF_00050078","SbmA protein"
"PGF_00064840","Uncharacterized outer membrane protein YaiW"
"PGF_00014120","Inner membrane protein YaiY"
"PGF_00398778","hypothetical protein"
"PGF_06657755","Anti-adapter protein IraP"
"PGF_00040141","Alkaline phosphatase (EC 3.1.3.1)"
NA,"Phosphate starvation-inducible protein PsiF"
"PGF_00037971","Diguanylate cyclase (EC 2.7.7.65) => DgcC"
"PGF_07609122","Pyrroline-5-carboxylate reductase (EC 1.5.1.2)"
"PGF_08189833","Protein YaiI"
"PGF_00051544","Shikimate kinase III (EC 2.7.1.71)"
"PGF_00037970","Protein YaiA"
"PGF_00064775","AroM protein"
"PGF_01291506","Pyrimidine/purine nucleoside phosphorylase PpnP"
"PGF_02296690","DNA recombination-dependent growth factor RdgC"
"PGF_08045617","Cryptic sugar kinase Mak"
"PGF_00037875","Protein AraJ precursor"
"PGF_08690689","Exonuclease SbcC"
"PGF_09155108","Exonuclease SbcD"
"PGF_09160328","Phosphate regulon transcriptional regulatory protein PhoB (SphR)"
"PGF_10125211","Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)"
"PGF_00069345","Na(+)-dependent branched-chain amino acid transporter"
"PGF_00037558","Proline-specific permease ProY"
"PGF_00019053","Maltodextrin glucosidase (EC 3.2.1.20)"
"PGF_06454307","Acyl carrier protein phosphodiesterase (EC 3.1.4.14)"
"PGF_00049362","S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)"
"PGF_02061452","Queuine tRNA-ribosyltransferase (EC 2.4.2.29)"
"PGF_00685189","Protein translocase subunit YajC"
NA,"Protein translocase subunit SecD"
"PGF_03589438","Protein translocase subunit SecF"
"PGF_00065404","Uncharacterized protein YajD"
"PGF_03376111","Nucleoside-specific channel-forming protein Tsx precursor"
"PGF_00013088","Hypothetical lipoprotein yajI"
"PGF_00048643","Ribonucleotide reductase transcriptional regulator NrdR"
"PGF_00423089","Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)"
"PGF_00426932","6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)"
"PGF_10450086","Transcription termination protein NusB"
"PGF_02191019","Thiamine-monophosphate kinase (EC 2.7.4.16)"
"PGF_06458877","Phosphatidylglycerophosphatase A (EC 3.1.3.27)"
"PGF_08072252","NADPH dependent aldo-keto reductase => YajO"
"PGF_00426115","1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)"
"PGF_05860770","(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10) @ Dimethylallyltransferase (EC 2.5.1.1)"
"PGF_05076104","Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)"
"PGF_00413237","tRNA 4-thiouridine synthase (EC 2.8.1.4) / Rhodanese-like domain required for thiamine synthesis"
"PGF_07489704","DJ-1/YajL/PfpI superfamily, includes chaperone protein YajL (former ThiJ), parkinsonism-associated protein DJ-1, peptidases PfpI, Hsp31"
"PGF_07730014","2-dehydropantoate 2-reductase (EC 1.1.1.169)"
